tweet_id,old_tweet_id,text,old_text,author_id,old_author_id,tw_date,year,AR,MB,similarity
1079965188206415873,1.08e+18,"As we close the books on one year and begin another, I want to wish you all a happy and healthy #NewYear2019! https://t.co/xDk4uOZxCr","The LORD bless you and keep you!
The LORD let his face shine upon you, and be gracious to you!
The LORD look upon you kindly and give you peace!

Numbers 6: 24-26",117501995,Marco Rubio,2019-01-01,2019,3,3,31.0
1080224612938596353,1.08e+18,We must look at climate change as if it were a devastating military attack against the United States and the entire planet. And we must respond accordingly.,"RT @brhodes: Unfortunately, climate change will be the most significant story for a very long time. And the Republican denialism of the lasÇƒ∂",29442313,Chris Murphy,2019-01-01,2019,1,1,37.0
1080516539814739968,1.08e+18,https://t.co/woXxgFyR17,RT @schumersglasses: https://t.co/HX6oF94GRo,1017500185356853248,Chuck Schumer,2019-01-02,2019,3,3,48.0
1080498783060926465,1.08e+18,"READ my op-ed in the @washingtonpost about three possible solutions to end the partial government shutdown. 

https://t.co/zzPBvd3LQZ","Excited to introduce this important bipartisan legislation with @lisamurkowski that reduces toxic air pollution, protects public health, and supports American jobs. https://t.co/41ivqMaMWC",76649729,Tom Carper,2019-01-02,2019,2,2,40.0
1080510798517153793,1.08e+18,Read my op-ed in today’s @washingtonpost: President Trump could reopen the government and build a lasting legacy all at once. https://t.co/v2ymAVGg0K,Rand Paul Attacks ÇƒÚVirtuousÇƒÙ Mitt Romney For Anti-Trump Op-Ed | The Daily Caller https://t.co/N0hnfxY21l,21669223,Rand Paul,2019-01-02,2019,3,3,38.0
1080531992935047168,1.08e+18,"This shutdown is impacting workers and their families, so I am hoping that Republicans decide to work with us to fund our government and make sure workers across the country are paid.","While President Trump continues to demand funding for a pointless border wall, House Democrats are ready to get to work on day one and pass legislation to reopen the government. ItÇƒÙs time to restore certainty for the American people.",293131808,Ben Ray Lujan,2019-01-02,2019,2,2,39.0
1080607437844107264,1.08e+18,"Someone should let Zinke know that resigning doesn’t save you from prison.
https://t.co/XMT3Pe9Y2Z","Çƒ˙My supervisor told me we wonÇƒÙt be getting paid, so my bills wonÇƒÙt be getting paid.Çƒ˘ #ShutdownStories
https://t.co/7udfTPEMzZ",250188760,Mark Warner,2019-01-02,2019,1,1,41.0
1080907269359820801,1.08e+18,"Good to see my Laredo friends, including Mayor Pete Saenz, at the Capitol today https://t.co/SwTa9DRSEE",No family should have to choose between paying for medicine and putting gas in the tank or food on the table. https://t.co/yLhStgZQNQ,13218102,Sherrod Brown,2019-01-03,2019,1,1,45.0
1080622378877681664,1.08e+18,"Honored to have the opportunity to blaze a trail for women in leadership roles alongside @jonieernst as the first GOP women to serve on @senjudiciary 
https://t.co/s5REf9Q2iP","Right now, a single Republican Senator is standing in the way of confirming a highly-qualified nominee to the @USEEOCÇƒÓI hope Republican leaders push aside this obstruction so the EEOC can fulfill its duty to protect workersÇƒÙ civil rights.
https://t.co/ZGF97MDyTe",63150856,Patty Murray,2019-01-03,2019,1,1,37.0
1080644917771362305,1.08e+18,"Speaking with @foxnews @seanhannity tonight at 9:15 pm about wall-border security funding and the government shutdown.  

Tune in!",RT @VP: .@POTUS has taken a STRONG STAND for border security because we have a crisis at our southern border. Our sincere hope is that DemoÇƒ∂,432895323,Bill Cassidy,2019-01-03,2019,1,1,37.0
1080966370534273025,1.08e+18,RT @braun4indiana: Time to get to work. https://t.co/eFKUMH1BYG,"RT @perlmutations: Seems like just last week! Ah, nostalgia! https://t.co/eDgCkeUbRN",13218102,Mark Warner,2019-01-03,2019,3,3,48.0
1080893858391707648,1.08e+18,Today I was sworn in by @VP Mike Pence on the floor of Senate. It is an honor and a privilege to serve the people of Mississippi for another six years. https://t.co/R0AKTqhTMb,Tune in to CSPAN at 12 pm ET when I will be sworn in for the #116thCongress as part of the most diverse Congress in history. My colleagues and I are ready to get to work for the American people. https://t.co/YzEEhS8FBV,264219447,Ben Ray Lujan,2019-01-03,2019,3,3,43.0
1080959686864789505,1.08e+18,So glad to see so many familiar faces in Washington today supporting me on my swearing-in day. https://t.co/WZZDzJgmYa,Herb Kohl has done so much for Wisconsin and I am truly honored that he is joining me today for the swearing-in ceremony. https://t.co/fNXpyVACgW,818554054309715969,Tammy Baldwin,2019-01-03,2019,3,3,48.0
1080969530300657664,1.08e+18,The VA’s blunder should not negatively impact the finances of veterans seeking higher education and this new law will help address the VA’s unacceptable failure. https://t.co/DlkHmu4Ajy,"CouldnÇƒÙt agree more with @UCFWhittaker. Colleges should emulate UCFÇƒÙs commitment to Pell recipients, and rankings like @usnews should do more to highlight their success. https://t.co/zPGdSRMUUv",946549322,Chris Coons,2019-01-03,2019,1,1,39.0
1080955360792391680,1.08e+18,"Thanks to @realDonaldTrump for signing several of my bills into law today, including legislation that will bring corrupt lobbyists into the sunlight.
https://t.co/MFqiafkB3Q","In 2018, I was proud to work with all of my Senate colleagues to produce #bipartisan results, including protecting #veterans and holding VA executives accountable &amp; securing federal funds to help North Carolinians affected by natural disasters. https://t.co/qFpBpvPt6B",816683274076614656,Thom Tillis,2019-01-03,2019,2,2,38.0
1080920418045718528,1.08e+18,"I’m honored to take the oath of office as Nevada’s next U.S. Senator. Nevadans sent me here to fight for their health care, and that’s what I’m ready to do. https://t.co/Ms9pJSrcQn","President Trump just signed into law my legislation with @RepClayHiggins to rename the #LakeCharles VA Clinic in honor of Kinder native Douglas Fournet, who gave his life in the Vietnam War and was posthumously awarded the Medal of Honor. https://t.co/xbgNsU7OH9",818554054309715969,Bill Cassidy,2019-01-03,2019,2,2,37.0
1080933258139975687,1.08e+18,To the people of Utah: Thank you for entrusting me with the responsibility of serving you in the United States Senate. https://t.co/iBJ8CN6v2m,"Honored to have been sworn into the 116th Congress today. Thank you Washington, it is the privilege of a lifetime to serve you in the United States Senate. https://t.co/0CyL9aaapz",1078693601356509184,Maria Cantwell,2019-01-03,2019,3,3,57.0
908788782903758848,9.0848290732034e+17,I’m closely monitoring the San Diego County Hepatitis A outbreak. Resources on prevention can be found here: https://t.co/EEthkz35kR,.@FLOIR_comm has updated its ‚ÄúHurricane Season Resources‚Äù webpage- find it here: https://t.co/zYXsThyoMK,476256944,Rick Scott,2017-09-15,2017,2,2,45.0
908773940079857664,9.0848315120651e+17,RT @autodealerstx: Thank you @JohnCornyn for meeting with our dealers and supporting recovery from #HurricaneHarvey https://t.co/aLDz0iYJml,"RT @HealthyFla: #FLHealth urges caution with sewage, septic tanks after Hurricane #Irma: https://t.co/Kg7L3YPfJW",13218102,Rick Scott,2017-09-15,2017,1,1,46.0
908775103739154432,9.08488536810065e+17,Deeply disturbing! Rs making one last-ditch effort to take away health care—Keep up the fight and continue speaking out! https://t.co/0Z4Qtuo8RM,FDLE is coordinating hundreds of law enforcement missions through the state EOC including patrol and escort missions.,76456274,Rick Scott,2017-09-15,2017,2,2,37.0
908483250032693248,9.08489559687778e+17,Kim Jong-un's missile launches show how much he doesn't care about his own people. Each new provocation increases likelihood of lost lives.,"El FDLE est√° coordinando cientos de misiones de las autoridades a trav√©s del EOC del estado, incluyendo misiones de patrullaje y escolta.",225921757,Rick Scott,2017-09-15,2017,3,3,32.0
908816804826329088,9.0849206066314e+17,"Credit reporting agencies can ruin your life with their mistakes, but they are totally unaccountable. We must change the law.",Soldiers &amp; Airmen are operating at 14 Points of Distribution throughout FL to ensure supplies are quickly provided to those who need them,47747074,Rick Scott,2017-09-15,2017,2,2,38.0
908839277987057666,9.08498374118313e+17,Good news: A federal court blocked Attorney General Sessions’ ill-advised effort to hold city violence prevention funds hostage. https://t.co/yvJNv2zsCq,Updates on continued Hurricane Irma response efforts can be found here: https://t.co/g6jNf85DHV,247334603,Rick Scott,2017-09-15,2017,2,2,45.0
908833235999830016,9.08501874688561e+17,".@SenRonJohnson will have a new constituent services office in Madison effective October 2nd 
https://t.co/ieFqz6mgFD",.@FLHSMV Licensing on Wheels Mobiles are mobilized to provide credentialing services to impacted FL residents in Lee and Collier counties.,233737858,Rick Scott,2017-09-15,2017,2,2,37.0
908796140027629569,9.08504473563254e+17,I've been working to improve our #BuyAmerican laws for over a decade: https://t.co/GaenDO5p8I. I'm hopeful we can work together on this. https://t.co/AiFqVGB9u9,RT @FLSERT: Florida Hurricane #Irma Power Outage Numbers as of 9/14/2017 9:00 PM ET. PDF at: https://t.co/MdtDTxRJZf #FLResponds https://t.‚Ä¶,150078976,Rick Scott,2017-09-15,2017,3,3,36.0
908774940555534336,9.08509426419732e+17,"Dreamers, we want to hear your stories. Use the hashtag #HereToStay and we’ll RT some so others can hear your voice.",.@RedCross is preparing to open four shelters in the Florida Keys following area surveys and consultation with local officials.,30354991,Rick Scott,2017-09-15,2017,2,2,40.0
908671192692875264,9.08512949727301e+17,It is up to the Trump Administration and the world to make North Korea believe otherwise.,.@MyFDOT debris removal crews have cleared US 1 and debris removal operations will begin this weekend.,432895323,Rick Scott,2017-09-15,2017,2,3,36.0
908520930904887296,9.08520930904887e+17,"Make that: ⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️

@Indians - you made Cleveland very proud tonight.","Make that: ‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è‚öæÔ∏è

@Indians - you made Cleveland very proud tonight.",43910797,Sherrod Brown,2017-09-15,2017,3,3,41.0
908733433563766786,9.08522762586787e+17,I’m #WithDREAMers &amp; will continue calling for the passage of the #DREAMact,State offices closures/ openings will continue to follow the lead of local governments,1099199839,Rick Scott,2017-09-15,2017,3,3,43.0
