tweet_id,tmp_id,text_x,tw_date_x,year,lang,metadata,AR,MB,author,date
0,9.08e+17,.@FLOIR_comm has updated its “Hurricane Season Resources” webpage- find it here: https://t.co/zYXsThyoMK,2017-09-15 00:09:38+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,2,131546062,2017-09-15
1,9.08e+17,"RT @HealthyFla: #FLHealth urges caution with sewage, septic tanks after Hurricane #Irma: https://t.co/Kg7L3YPfJW",2017-09-15 00:10:36+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",1,1,131546062,2017-09-15
2,9.08e+17,FDLE is coordinating hundreds of law enforcement missions through the state EOC including patrol and escort missions.,2017-09-15 00:32:00+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,2,131546062,2017-09-15
3,9.08e+17,"El FDLE está coordinando cientos de misiones de las autoridades a través del EOC del estado, incluyendo misiones de patrullaje y escolta.",2017-09-15 00:36:04+00:00,2017,es,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",3,3,131546062,2017-09-15
4,9.08e+17,Soldiers &amp; Airmen are operating at 14 Points of Distribution throughout FL to ensure supplies are quickly provided to those who need them,2017-09-15 00:46:00+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,2,131546062,2017-09-15
5,9.08e+17,Updates on continued Hurricane Irma response efforts can be found here: https://t.co/g6jNf85DHV,2017-09-15 01:11:06+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,1,131546062,2017-09-15
6,9.09e+17,.@FLHSMV Licensing on Wheels Mobiles are mobilized to provide credentialing services to impacted FL residents in Lee and Collier counties.,2017-09-15 01:25:00+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,2,131546062,2017-09-15
7,9.09e+17,RT @FLSERT: Florida Hurricane #Irma Power Outage Numbers as of 9/14/2017 9:00 PM ET. PDF at: https://t.co/MdtDTxRJZf #FLResponds https://t.…,2017-09-15 01:35:20+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",3,3,131546062,2017-09-15
8,9.09e+17,.@RedCross is preparing to open four shelters in the Florida Keys following area surveys and consultation with local officials.,2017-09-15 01:55:01+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,2,131546062,2017-09-15
9,9.09e+17,.@MyFDOT debris removal crews have cleared US 1 and debris removal operations will begin this weekend.,2017-09-15 02:09:01+00:00,2017,en,"{""verified"":true,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/N5TDVcCjcr"",""expanded_url"":""http://www.rickscott.senate.gov"",""display_url"":""rickscott.senate.gov""}]},""description"":{""urls"":[{""start"":98,""end"":121,""url"":""https://t.co/O6Ra1UNojy"",""expanded_url"":""http://instagram.com/flsenrickscott"",""display_url"":""instagram.com/flsenrickscott""}],""hashtags"":[{""start"":83,""end"":97,""tag"":""LetsGetToWork""}]}},""description"":""Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNojy"",""username"":""SenRickScott"",""created_at"":""2010-04-10T16:03:04.000Z"",""location"":""The Sunshine State"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg"",""public_metrics"":{""followers_count"":393608,""following_count"":1266,""tweet_count"":22513,""listed_count"":4081},""protected"":false,""pinned_tweet_id"":""1573331112079892480"",""url"":""https://t.co/N5TDVcCjcr"",""id"":""131546062"",""name"":""Rick Scott""}",2,3,131546062,2017-09-15
