,tweet_id_x,text_x,tw_date_x,author_id_x,year,source,AR,MB,date,idddd,tweet_id_y,text_y,author_id_y,tw_date_y,created_at,similarity
0,1.08e+18,"The LORD bless you and keep you!
The LORD let his face shine upon you, and be gracious to you!
The LORD look upon you kindly and give you peace!

Numbers 6: 24-26",2019-01-01 15:01:36+00:00,Marco Rubio,2019,selected_2019,3,3,2019-01-01,1847,1079965188206415873,"As we close the books on one year and begin another, I want to wish you all a happy and healthy #NewYear2019! https://t.co/xDk4uOZxCr",117501995,2019-01-01,2019-01-01,31.0
1,1.08e+18,"RT @brhodes: Unfortunately, climate change will be the most significant story for a very long time. And the Republican denialism of the lasÇƒ∂",2019-01-01 20:12:07+00:00,Chris Murphy,2019,selected_2019,1,1,2019-01-01,1878,1080224612938596353,We must look at climate change as if it were a devastating military attack against the United States and the entire planet. And we must respond accordingly.,29442313,2019-01-01,2019-01-01,37.0
2,1.08e+18,RT @schumersglasses: https://t.co/HX6oF94GRo,2019-01-02 01:42:11+00:00,Chuck Schumer,2019,selected_2019,3,3,2019-01-02,1898,1080516539814739968,https://t.co/woXxgFyR17,1017500185356853248,2019-01-02,2019-01-02,48.0
3,1.08e+18,"Excited to introduce this important bipartisan legislation with @lisamurkowski that reduces toxic air pollution, protects public health, and supports American jobs. https://t.co/41ivqMaMWC",2019-01-02 15:08:47+00:00,Tom Carper,2019,selected_2019,2,2,2019-01-02,1915,1080498783060926465,"READ my op-ed in the @washingtonpost about three possible solutions to end the partial government shutdown. 

https://t.co/zzPBvd3LQZ",76649729,2019-01-02,2019-01-02,40.0
4,1.08e+18,Rand Paul Attacks ÇƒÚVirtuousÇƒÙ Mitt Romney For Anti-Trump Op-Ed | The Daily Caller https://t.co/N0hnfxY21l,2019-01-02 18:23:27+00:00,Rand Paul,2019,selected_2019,3,3,2019-01-02,1945,1080510798517153793,Read my op-ed in today’s @washingtonpost: President Trump could reopen the government and build a lasting legacy all at once. https://t.co/v2ymAVGg0K,21669223,2019-01-02,2019-01-02,38.0
5,1.08e+18,"While President Trump continues to demand funding for a pointless border wall, House Democrats are ready to get to work on day one and pass legislation to reopen the government. ItÇƒÙs time to restore certainty for the American people.",2019-01-02 21:44:37+00:00,Ben Ray Lujan,2019,selected_2019,2,2,2019-01-02,1998,1080531992935047168,"This shutdown is impacting workers and their families, so I am hoping that Republicans decide to work with us to fund our government and make sure workers across the country are paid.",293131808,2019-01-02,2019-01-02,39.0
6,1.08e+18,"Çƒ˙My supervisor told me we wonÇƒÙt be getting paid, so my bills wonÇƒÙt be getting paid.Çƒ˘ #ShutdownStories
https://t.co/7udfTPEMzZ",2019-01-02 23:31:16+00:00,Mark Warner,2019,selected_2019,1,1,2019-01-02,2024,1080607437844107264,"Someone should let Zinke know that resigning doesn’t save you from prison.
https://t.co/XMT3Pe9Y2Z",250188760,2019-01-02,2019-01-02,41.0
7,1.08e+18,No family should have to choose between paying for medicine and putting gas in the tank or food on the table. https://t.co/yLhStgZQNQ,2019-01-03 00:55:41+00:00,Sherrod Brown,2019,selected_2019,1,1,2019-01-03,2039,1080907269359820801,"Good to see my Laredo friends, including Mayor Pete Saenz, at the Capitol today https://t.co/SwTa9DRSEE",13218102,2019-01-03,2019-01-03,45.0
8,1.08e+18,"Right now, a single Republican Senator is standing in the way of confirming a highly-qualified nominee to the @USEEOCÇƒÓI hope Republican leaders push aside this obstruction so the EEOC can fulfill its duty to protect workersÇƒÙ civil rights.
https://t.co/ZGF97MDyTe",2019-01-03 01:32:00+00:00,Patty Murray,2019,selected_2019,1,1,2019-01-03,2044,1080622378877681664,"Honored to have the opportunity to blaze a trail for women in leadership roles alongside @jonieernst as the first GOP women to serve on @senjudiciary 
https://t.co/s5REf9Q2iP",63150856,2019-01-03,2019-01-03,37.0
9,1.08e+18,RT @VP: .@POTUS has taken a STRONG STAND for border security because we have a crisis at our southern border. Our sincere hope is that DemoÇƒ∂,2019-01-03 02:30:54+00:00,Bill Cassidy,2019,selected_2019,1,1,2019-01-03,2055,1080644917771362305,"Speaking with @foxnews @seanhannity tonight at 9:15 pm about wall-border security funding and the government shutdown.  

Tune in!",432895323,2019-01-03,2019-01-03,37.0
10,1.08e+18,"RT @perlmutations: Seems like just last week! Ah, nostalgia! https://t.co/eDgCkeUbRN",2019-01-03 13:24:26+00:00,Mark Warner,2019,selected_2019,3,3,2019-01-03,2074,1080966370534273025,RT @braun4indiana: Time to get to work. https://t.co/eFKUMH1BYG,13218102,2019-01-03,2019-01-03,48.0
11,1.08e+18,Tune in to CSPAN at 12 pm ET when I will be sworn in for the #116thCongress as part of the most diverse Congress in history. My colleagues and I are ready to get to work for the American people. https://t.co/YzEEhS8FBV,2019-01-03 16:44:24+00:00,Ben Ray Lujan,2019,selected_2019,3,3,2019-01-03,2114,1080893858391707648,Today I was sworn in by @VP Mike Pence on the floor of Senate. It is an honor and a privilege to serve the people of Mississippi for another six years. https://t.co/R0AKTqhTMb,264219447,2019-01-03,2019-01-03,43.0
12,1.08e+18,Herb Kohl has done so much for Wisconsin and I am truly honored that he is joining me today for the swearing-in ceremony. https://t.co/fNXpyVACgW,2019-01-03 16:50:21+00:00,Tammy Baldwin,2019,selected_2019,3,3,2019-01-03,2116,1080959686864789505,So glad to see so many familiar faces in Washington today supporting me on my swearing-in day. https://t.co/WZZDzJgmYa,818554054309715969,2019-01-03,2019-01-03,48.0
